id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,elimi0tor,dl_applied,umpire1,umpire2
335982,Bangalore,18-04-2008,BB McCullum,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140,N,0,Asad Rauf,RE Koertzen
335983,Chandigarh,19-04-2008,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Chen0i Super Kings,Chen0i Super Kings,bat,Chen0i Super Kings,runs,33,N,0,MR Benson,SL Shastri
335984,Delhi,19-04-2008,MF Maharoof,Feroz Shah Kotla,0,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9,N,0,Aleem Dar,GA Pratapkumar
335985,Mumbai,20-04-2008,MV Boucher,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5,N,0,SJ Davis,DJ Harper
335986,Kolkata,20-04-2008,DJ Hussey,Eden Gardens,0,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,N,0,BF Bowden,K Hariharan
335987,Jaipur,21-04-2008,SR Watson,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,N,0,Aleem Dar,RB Tiffin
335988,Hyderabad,22-04-2008,V Sehwag,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9,N,0,IL Howell,AM Saheba
335989,Chen0i,23-04-2008,ML Hayden,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Mumbai Indians,Mumbai Indians,field,Chen0i Super Kings,runs,6,N,0,DJ Harper,GA Pratapkumar
335990,Hyderabad,24-04-2008,YK Pathan,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,0,Asad Rauf,MR Benson
335991,Chandigarh,25-04-2008,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66,N,0,Aleem Dar,AM Saheba
335992,Bangalore,26-04-2008,SR Watson,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,N,0,MR Benson,IL Howell
335993,Chen0i,26-04-2008,JDP Oram,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chen0i Super Kings,wickets,9,N,0,BF Bowden,AV Jayaprakash
335994,Mumbai,27-04-2008,AC Gilchrist,Dr DY Patil Sports Academy,0,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10,N,0,Asad Rauf,SL Shastri
335995,Chandigarh,27-04-2008,SM Katich,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4,N,0,RE Koertzen,I Shivram
335996,Bangalore,28-04-2008,MS Dhoni,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Chen0i Super Kings,Chen0i Super Kings,bat,Chen0i Super Kings,runs,13,N,0,BR Doctrove,RB Tiffin
335997,Kolkata,29-04-2008,ST Jayasuriya,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,N,0,BF Bowden,AV Jayaprakash
335998,Delhi,30-04-2008,GD McGrath,Feroz Shah Kotla,0,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10,N,0,Aleem Dar,I Shivram
335999,Hyderabad,01-05-2008,SE Marsh,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7,N,0,BR Doctrove,RB Tiffin
336000,Jaipur,01-05-2008,SA Asnodkar,Sawai Mansingh Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45,N,0,RE Koertzen,GA Pratapkumar
336001,Chen0i,02-05-2008,V Sehwag,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Delhi Daredevils,Chen0i Super Kings,bat,Delhi Daredevils,wickets,8,N,0,BF Bowden,K Hariharan
336002,Hyderabad,25-05-2008,R Vi0y Kumar,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,wickets,5,N,0,Asad Rauf,RE Koertzen
336003,Chandigarh,03-05-2008,IK Pathan,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9,N,0,DJ Harper,I Shivram
336004,Mumbai,04-05-2008,SM Pollock,Dr DY Patil Sports Academy,0,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29,N,0,IL Howell,RE Koertzen
336005,Jaipur,04-05-2008,Sohail Tanvir,Sawai Mansingh Stadium,0,Rajasthan Royals,Chen0i Super Kings,Chen0i Super Kings,bat,Rajasthan Royals,wickets,8,N,0,Asad Rauf,AV Jayaprakash
336006,Bangalore,05-05-2008,S Sreesanth,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,0,SJ Davis,BR Doctrove
336007,Chen0i,06-05-2008,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7,N,0,MR Benson,RB Tiffin
336008,Mumbai,07-05-2008,A Nehra,Dr DY Patil Sports Academy,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7,N,0,DJ Harper,RE Koertzen
336009,Delhi,08-05-2008,MS Dhoni,Feroz Shah Kotla,0,Delhi Daredevils,Chen0i Super Kings,Chen0i Super Kings,field,Chen0i Super Kings,wickets,4,N,0,Aleem Dar,RB Tiffin
336010,Kolkata,08-05-2008,SC Ganguly,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5,N,0,Asad Rauf,IL Howell
336011,Jaipur,09-05-2008,YK Pathan,Sawai Mansingh Stadium,0,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,wickets,8,N,0,MR Benson,AM Saheba
336012,Bangalore,28-05-2008,CRD Fer0ndo,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9,N,0,BF Bowden,AV Jayaprakash
336013,Chen0i,10-05-2008,L Balaji,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chen0i Super Kings,runs,18,N,0,AV Jayaprakash,BG Jerling
336014,Hyderabad,11-05-2008,SC Ganguly,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23,N,0,IL Howell,AM Saheba
336015,Jaipur,11-05-2008,SR Watson,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,0,SJ Davis,RE Koertzen
336016,Chandigarh,12-05-2008,SE Marsh,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,9,N,0,BR Doctrove,I Shivram
336017,Kolkata,13-05-2008,Shoaib Akhtar,Eden Gardens,0,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23,N,0,Asad Rauf,IL Howell
336018,Mumbai,14-05-2008,ST Jayasuriya,Wankhede Stadium,0,Mumbai Indians,Chen0i Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9,N,0,BR Doctrove,AM Saheba
336019,Chandigarh,28-05-2008,SE Marsh,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,41,N,0,SJ Davis,K Hariharan
336020,Delhi,15-05-2008,A Mishra,Feroz Shah Kotla,0,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,runs,12,N,0,BG Jerling,GA Pratapkumar
336021,Mumbai,16-05-2008,SM Pollock,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,8,N,0,BR Doctrove,DJ Harper
336022,Delhi,17-05-2008,DPMD Jayawardene,Feroz Shah Kotla,0,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,runs,6,N,1,AV Jayaprakash,RE Koertzen
336023,Jaipur,17-05-2008,GC Smith,Sawai Mansingh Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,runs,65,N,0,BF Bowden,SL Shastri
336024,Hyderabad,18-05-2008,DJ Bravo,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,runs,25,N,0,BR Doctrove,DJ Harper
336025,Kolkata,18-05-2008,M Ntini,Eden Gardens,0,Kolkata Knight Riders,Chen0i Super Kings,Kolkata Knight Riders,bat,Chen0i Super Kings,runs,3,N,1,Asad Rauf,K Hariharan
336026,Bangalore,19-05-2008,SP Goswami,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,5,N,0,SJ Davis,GA Pratapkumar
336027,Kolkata,20-05-2008,YK Pathan,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6,N,0,BG Jerling,RE Koertzen
336028,Mumbai,21-05-2008,SE Marsh,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,1,N,0,BF Bowden,GA Pratapkumar
336029,Chen0i,21-05-2008,A Kumble,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,14,N,0,DJ Harper,I Shivram
336031,Chandigarh,23-05-2008,SE Marsh,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,0,Asad Rauf,SJ Davis
336032,Delhi,24-05-2008,KD Karthik,Feroz Shah Kotla,0,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,wickets,5,N,0,BF Bowden,K Hariharan
336033,Chen0i,24-05-2008,JA Morkel,"MA Chidambaram Stadium, Chepauk",0,Chen0i Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,10,N,0,DJ Harper,SL Shastri
336034,Bangalore,03-05-2008,P Kumar,M Chin0swamy Stadium,0,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3,N,0,BR Doctrove,SL Shastri
336035,Kolkata,25-05-2008,Umar Gul,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Kolkata Knight Riders,wickets,3,N,0,SJ Davis,I Shivram
336036,Jaipur,26-05-2008,Sohail Tanvir,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5,N,0,BF Bowden,K Hariharan
336037,Hyderabad,27-05-2008,SK Rai0,"Rajiv Gandhi Inter0tio0l Stadium, Uppal",0,Deccan Chargers,Chen0i Super Kings,Deccan Chargers,bat,Chen0i Super Kings,wickets,7,N,0,BG Jerling,AM Saheba
336038,Mumbai,30-05-2008,SR Watson,Wankhede Stadium,0,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Rajasthan Royals,runs,105,N,0,BF Bowden,RE Koertzen
336039,Mumbai,31-05-2008,M Ntini,Wankhede Stadium,0,Chen0i Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Chen0i Super Kings,wickets,9,N,0,Asad Rauf,DJ Harper
336040,Mumbai,01-06-2008,YK Pathan,Dr DY Patil Sports Academy,0,Chen0i Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,0,BF Bowden,RE Koertzen
392181,Cape Town,18-04-2009,SR Tendulkar,Newlands,1,Chen0i Super Kings,Mumbai Indians,Chen0i Super Kings,field,Mumbai Indians,runs,19,N,0,BR Doctrove,K Hariharan
392182,Cape Town,18-04-2009,R Dravid,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,75,N,0,BR Doctrove,RB Tiffin
392183,Cape Town,19-04-2009,DL Vettori,Newlands,1,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,wickets,10,N,1,MR Benson,SD Ra0de
392184,Cape Town,19-04-2009,RP Singh,Newlands,1,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Deccan Chargers,wickets,8,N,0,MR Benson,BR Doctrove
392185,Port Elizabeth,20-04-2009,M Muralitharan,St George's Park,1,Royal Challengers Bangalore,Chen0i Super Kings,Chen0i Super Kings,bat,Chen0i Super Kings,runs,92,N,0,BG Jerling,SJA Taufel
392186,Durban,21-04-2009,CH Gayle,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,11,N,1,DJ Harper,SD Ra0de
392188,Cape Town,22-04-2009,AC Gilchrist,Newlands,1,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,24,N,0,M Erasmus,AM Saheba
392189,Durban,23-04-2009,AB de Villiers,Kingsmead,1,Chen0i Super Kings,Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,runs,9,N,0,BR Doctrove,SJA Taufel
392190,Cape Town,23-04-2009,YK Pathan,Newlands,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,tie,0,Y,0,MR Benson,M Erasmus
392191,Durban,24-04-2009,RS Bopara,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,7,N,0,BR Doctrove,TH Wijewardene
392192,Durban,25-04-2009,PP Ojha,Kingsmead,1,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,12,N,0,HDPK Dharmase0,SJA Taufel
392194,Port Elizabeth,26-04-2009,TM Dilshan,St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,wickets,6,N,0,S As0ni,BG Jerling
392195,Cape Town,26-04-2009,KC Sangakkara,Newlands,1,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,runs,27,N,0,M Erasmus,K Hariharan
392196,Durban,27-04-2009,HH Gibbs,Kingsmead,1,Chen0i Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6,N,0,IL Howell,TH Wijewardene
392197,Port Elizabeth,27-04-2009,SR Tendulkar,St George's Park,1,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,92,N,0,BG Jerling,RB Tiffin
392198,Centurion,28-04-2009,YK Pathan,SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,wickets,5,N,0,GAV Baxter,RE Koertzen
392199,Durban,29-04-2009,MV Boucher,Kingsmead,1,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,5,N,0,MR Benson,TH Wijewardene
392200,Durban,29-04-2009,KC Sangakkara,Kingsmead,1,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,runs,3,N,0,MR Benson,SL Shastri
392201,Centurion,30-04-2009,DP 0nnes,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6,N,0,GAV Baxter,AM Saheba
392202,Centurion,30-04-2009,SK Rai0,SuperSport Park,1,Chen0i Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chen0i Super Kings,runs,38,N,0,GAV Baxter,RE Koertzen
392203,East London,01-05-2009,JP Duminy,Buffalo Park,1,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9,N,0,M Erasmus,SK Tarapore
392204,Durban,01-05-2009,Yuvraj Singh,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,8,N,0,HDPK Dharmase0,S Ravi
392205,Port Elizabeth,02-05-2009,YK Pathan,St George's Park,1,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,wickets,3,N,0,S As0ni,BG Jerling
392206,Johannesburg,02-05-2009,SB Jakati,New Wanderers Stadium,1,Chen0i Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chen0i Super Kings,runs,18,N,0,DJ Harper,RE Koertzen
392207,Port Elizabeth,03-05-2009,DPMD Jayawardene,St George's Park,1,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,6,N,0,S As0ni,MR Benson
392208,Johannesburg,03-05-2009,JH Kallis,New Wanderers Stadium,1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,9,N,0,RE Koertzen,TH Wijewardene
392209,East London,04-05-2009,MS Dhoni,Buffalo Park,1,Chen0i Super Kings,Deccan Chargers,Chen0i Super Kings,bat,Chen0i Super Kings,runs,78,N,0,BR Doctrove,M Erasmus
392210,Durban,05-05-2009,GC Smith,Kingsmead,1,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,78,N,0,SS Hazare,IL Howell
392211,Durban,05-05-2009,G Gambhir,Kingsmead,1,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Daredevils,wickets,9,N,0,GAV Baxter,IL Howell
392212,Centurion,06-05-2009,RG Sharma,SuperSport Park,1,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,runs,19,N,0,MR Benson,HDPK Dharmase0
392213,Centurion,07-05-2009,A Singh,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,N,0,K Hariharan,DJ Harper
392214,Centurion,07-05-2009,ML Hayden,SuperSport Park,1,Chen0i Super Kings,Kings XI Punjab,Chen0i Super Kings,bat,Chen0i Super Kings,runs,12,N,1,DJ Harper,TH Wijewardene
392215,East London,08-05-2009,A Nehra,Buffalo Park,1,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,wickets,7,N,0,M Erasmus,SK Tarapore
392216,Kimberley,09-05-2009,DPMD Jayawardene,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,3,N,0,GAV Baxter,AM Saheba
392217,Kimberley,09-05-2009,S Badri0th,De Beers Diamond Oval,1,Chen0i Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chen0i Super Kings,wickets,7,N,0,GAV Baxter,HDPK Dharmase0
392218,Port Elizabeth,10-05-2009,JP Duminy,St George's Park,1,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,16,N,0,BR Doctrove,BG Jerling
392219,Johannesburg,10-05-2009,A Mishra,New Wanderers Stadium,1,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,Delhi Daredevils,wickets,7,N,0,SL Shastri,RB Tiffin
392220,Kimberley,11-05-2009,DR Smith,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,runs,53,N,0,GAV Baxter,HDPK Dharmase0
392221,Centurion,12-05-2009,LRPL Taylor,SuperSport Park,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6,N,0,M Erasmus,SS Hazare
392222,Centurion,12-05-2009,Harbhajan Singh,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,8,N,0,SS Hazare,RE Koertzen
392223,Durban,13-05-2009,R Bhatia,Kingsmead,1,Deccan Chargers,Delhi Daredevils,Deccan Chargers,field,Delhi Daredevils,runs,12,N,0,DJ Harper,SL Shastri
392224,Durban,14-05-2009,LRPL Taylor,Kingsmead,1,Royal Challengers Bangalore,Chen0i Super Kings,Chen0i Super Kings,bat,Royal Challengers Bangalore,wickets,2,N,0,BR Doctrove,DJ Harper
